input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are in a room that is slowly filling with water.,"output: [OUTCOME]: The room is made of seamless stone, and water is pouring in from a series of grates in the ceiling. There is a single, heavy iron door."
input: [SCENE]: In a flooding room.,"output: [OUTCOME]: You unleash a massive fireball. The intense heat instantly turns a large amount of the water into steam, temporarily lowering the water level."
input: [SCENE]: In a flooding room.,output: [OUTCOME]: Your fire spell is immediately extinguished by the rising water. You've wasted a spell and are now standing in even deeper water.
input: [SCENE]: You are trying to get past a sleeping guard dog.,"output: [OUTCOME]: A large, mean-looking mastiff is sleeping in front of the door you need to get through. A half-eaten slab of meat is on the floor next to it."
input: [SCENE]: Getting past a sleeping guard dog.,"output: [OUTCOME]: You move with surprising silence for a person of your size. The mastiff snores on, completely unaware as you slip past it."
input: [SCENE]: Getting past a sleeping guard dog.,"output: [OUTCOME]: You are not a subtle person. You knock over a suit of armor with a loud crash, and the mastiff immediately wakes up, barking loudly."
"input: [SCENE]: The party is exploring a silent, ancient library.","output: [OUTCOME]: The only sound in the vast, dusty library is the faint, melodic chiming of a tiny bell coming from the floor above."
"input: [SCENE]: In a silent library, hearing a bell chime upstairs.","output: [OUTCOME]: Your spell works perfectly, silencing your party's steps. You are able to move towards the sound of the bell without making a sound."
"input: [SCENE]: In a silent library, hearing a bell chime upstairs.",output: [OUTCOME]: Your spell fizzles with a loud 'pop' that echoes in the silent library. The gentle chiming of the bell from upstairs immediately stops.
input: [SCENE]: The party is in the office of a corrupt city official.,output: [OUTCOME]: The official sits behind a large oak desk. A heavy iron key hangs from a hook on the wall behind him.
input: [SCENE]: In an official's office with a key on the wall.,"output: [OUTCOME]: You move like a ghost. The heavy iron key is in your hand, and you are back in your seat before the official even looks up."
input: [SCENE]: In an official's office with a key on the wall.,"output: [OUTCOME]: You reach for the iron key, but your sleeve catches on a book. The noise makes the official look up, and he sees you reaching for his key."
input: [SCENE]: The party is confronting a bandit leader in their hideout.,"output: [OUTCOME]: The bandit leader, a large woman with a cruel sneer, stands before you, flanked by her two heavily-armed lieutenants."
input: [SCENE]: Confronting a bandit leader and her two lieutenants.,"output: [OUTCOME]: Despite your miscount, your commanding presence is undeniable. The two lieutenants glance nervously at each other, and the leader's sneer falters."
input: [SCENE]: Confronting a bandit leader and her two lieutenants.,output: [OUTCOME]: The bandit leader laughs. 'You can't even count? There are only two of them!' Your attempt at intimidation is ruined by your mistake.
input: [SCENE]: The party is observing a goblin shaman performing a ritual.,"output: [OUTCOME]: The goblin shaman chants in a guttural language, holding a pulsating, bright green crystal aloft in its hand."
input: [SCENE]: Observing a goblin shaman with a green crystal.,"output: [OUTCOME]: Your arrow flies true, shattering the green crystal in a shower of emerald light. The shaman's ritual is broken."
input: [SCENE]: Observing a goblin shaman with a green crystal.,"output: [OUTCOME]: Your arrow misses the green crystal, whistling past the shaman's ear and alerting it to your presence."
input: [SCENE]: The party is facing a large golem.,"output: [OUTCOME]: A massive golem made of solid, rough-hewn granite blocks the hallway. It has no discernible features, just the raw power of earth and magic."
input: [SCENE]: Facing a granite golem.,"output: [OUTCOME]: Though it's made of granite, not iron, you spot a significant fissure near its shoulder joint where a well-placed strike would do maximum damage."
input: [SCENE]: Facing a granite golem.,output: [OUTCOME]: The granite golem is flawlessly constructed; you find no weaknesses in its solid stone form.
input: [SCENE]: The party has captured a goblin who is giving them directions.,"output: [OUTCOME]: The captured goblin points a shaky finger down the tunnel to your left. 'The treasure is that way, down the left tunnel,' he squeaks."
input: [SCENE]: A goblin has pointed you towards the left tunnel.,"output: [OUTCOME]: As you start to head right, you notice fresh tracks in the dust leading down the left tunnel, confirming the goblin's story. The right tunnel looks completely unused."
input: [SCENE]: A goblin has pointed you towards the left tunnel.,"output: [OUTCOME]: You confidently check the right-hand tunnel for traps and, finding none, lead the party down it. You walk for ten minutes before realizing it's a dead end."
input: [SCENE]: The party is being introduced to a city's spymaster.,"output: [OUTCOME]: You are introduced to the city's spymaster, a severe-looking woman with a network of scars on her face. 'You may call me Lady Vex,' she says."
"input: [SCENE]: Speaking with the spymaster, Lady Vex.","output: [OUTCOME]: Lady Vex allows the mispronunciation to slide, seeing it as an unimportant detail. She offers you a cryptic clue in exchange for a future favor."
"input: [SCENE]: Speaking with the spymaster, Lady Vex.","output: [OUTCOME]: 'It's Vex,' she says, her voice turning cold as ice. Your sloppiness has insulted her, and she refuses to speak with you further, ending the meeting."
input: [SCENE]: The party finds a wounded and weeping noble in a chapel.,"output: [OUTCOME]: In the chapel, you find a young noble, Sir Reginald, kneeling at the altar. He is weeping silently, his shoulders shaking with grief."
input: [SCENE]: Trying to speak with a weeping noble.,"output: [OUTCOME]: Though he is clearly weeping, not laughing, you approach with a gentle demeanor. He seems to appreciate your concern and begins to tell you of the curse that has afflicted his family."
input: [SCENE]: Trying to speak with a weeping noble.,"output: [OUTCOME]: Your strange phrasing comes across as mockery. The nobleman's grief turns to anger, and he shouts at you to leave him alone."
input: [SCENE]: The party is traveling through a barren wasteland.,"output: [OUTCOME]: You have been traveling for days under a relentless, scorching sun. The air is dry and hot, and heat shimmers on the horizon."
input: [SCENE]: Traveling under a scorching sun.,"output: [OUTCOME]: Despite your confusion about the weather, you are still an expert survivor. You spot a cave entrance that will offer excellent shelter from the oppressive sun."
input: [SCENE]: Traveling under a scorching sun.,"output: [OUTCOME]: Your disorientation from the heat is getting worse. You wander for an hour, finding no shelter, becoming more dehydrated and exhausted."
input: [SCENE]: The party is facing a heavily armed hobgoblin.,"output: [OUTCOME]: A large hobgoblin commander stands before you, brandishing a massive, two-handed greatsword with a jagged edge."
input: [SCENE]: Facing a hobgoblin with a greatsword.,"output: [OUTCOME]: You expertly block the hobgoblin's powerful greatsword strike, the force of the blow vibrating up your arms. You are locked in a contest of strength."
input: [SCENE]: Facing a hobgoblin with a greatsword.,"output: [OUTCOME]: You misjudge the arc of the heavy greatsword. It smashes past your guard, and the flat of the blade slams into your shoulder, sending you staggering back."
