input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The plants are beautiful, with vibrant colors and sweet-smelling blossoms. But their petals are lined with sharp teeth, and they seem to watch you as you pass, hungry."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The area is completely devoid of life. The ground is a grey, sterile dust, and a profound sense of loss and sorrow hangs in the air. This is a place of great sadness."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ogre is a mountain of muscle and stupidity. The crowd is roaring, and the ogre is beating its chest and drooling. The bell rings."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is tilted at a 45-degree angle, but you are not falling. A river is flowing uphill, and the trees are growing upside down. This place is a paradox."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The noble is currently complaining about the quality of the wine, the temperature of the room, and the way you are standing. It's going to be a very long day."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ice covers a deep, dark, and very cold-looking body of water. A single treasure chest sits on a pedestal on the far side of the room. You can hear the ice groaning under your weight."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The sun hangs low on the horizon, bathing the world in a perpetual, golden twilight. You have not seen true darkness in days, and your body is starting to feel the strain."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A crowd has gathered to watch. Your rival has just made a clever point, and it is your turn to respond. The crowd is waiting."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A massive, roasted boar is placed in the center of the table. Everyone is tearing off chunks of meat with their bare hands, and you are expected to join in."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The sound of your own breathing is a deafening roar. You have to move with absolute silence if you are to remain undetected.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You are sitting in a dark corner, a hood pulled low over your face. You are just another faceless traveler, and you want to keep it that way."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The walls are made of smooth, seamless stone. There are no obvious exits. You are trapped."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: A squirrel is complaining about the price of nuts, and two rabbits are having a heated argument about politics. It is a very strange and very noisy forest."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: A crowd of pilgrims are gathered around a statue that is said to have cured a blind man. The air is filled with a sense of hope and wonder.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The guards are all massive, muscle-bound warriors. The buildings are made of heavy, rough-hewn stone. You feel right at home here."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The bridge in front of you may be an illusion, but it is as solid as stone. The dragon flying overhead, however, is probably not real... probably."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You and your opponent circle each other, swords at the ready. The crowd is silent, waiting to see who will make the first move. Your honor is on the line."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The lower levels of the city are already flooded, and the canals are rising every day. The whole city has an air of beautiful, tragic decay."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The trees are made of copper, iron, and silver. Their leaves are like razors, and the wind makes a strange, metallic chiming sound as it passes through them."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The city is ruled by a cold, atheistic regime. The temples are all closed, and a simple prayer is a crime punishable by death. You must be careful."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The hall is in chaos. The groom is shouting for his guards, and the guests are in a panic. Someone needs to take charge."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You tried to cast a simple light spell, and you accidentally summoned a bouquet of flowers. The weave of magic here is frayed and chaotic. Any spell could have a wild, unpredictable result."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The fog is so thick you can't see the front of your own boat. The world has been reduced to a small circle of grey, and strange, unseen things are moving in the mist."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: It's a dragon's hoard, a sea of gold and jewels. It's a breathtaking sight, but you know the dragon is probably not far away."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The leaves are a perpetual carpet of red, gold, and brown. The air is crisp and cool, and the sky is a pale, hazy blue. It is beautiful, but also strangely melancholic."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The city is not a place of horror, but of strange, quiet coexistence. The living go about their daily lives, while the silent, spectral forms of their ancestors walk the same streets."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The air is thin and cold, but the view is breathtaking. The whole world is spread out beneath you, a tapestry of clouds, forests, and distant seas."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Every book you open has a thousand blank pages. The knowledge is here, but it is hidden, and you will have to find a way to reveal it."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The ground is shaking, and a massive plume of ash and smoke is rising from the mountain that looms over the city. Panic is beginning to spread in the streets."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Your shadow mimics your movements, but with a slight, malicious twist. It grins when you are not, and it seems to be whispering to the other shadows in the room."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The bears are having a tea party. They invite you to join them, offering you a cup of honeyed tea and a seat on a mossy log."
input: [CHECK]: None[PASS/FAIL]: N/A,output: [OUTCOME]: The area is haunted by a palpable sense of guilt and sorrow. You can feel the psychic residue of a terrible betrayal that happened here long ago.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The buildings are massive, and the people are even bigger. You are like a child in this city, and you have to be careful not to get stepped on."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The world is a beautiful, complex tapestry of glowing, multi-colored threads. You can see the Weave of magic itself, and it is breathtaking."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: There are guards on every corner, and their faces are grim and suspicious. A strict curfew is in effect, and the city is a powder keg waiting to explode."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The tavern smells of cheap ale and desperation. The informant, a twitchy man named Finnick, keeps glancing at the door. You've asked him about the location of the Shadowfang Crypt."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: Though you phrase it as Investigation, you focus on his mannerisms. You notice his eye twitches when he mentions the 'eastern swamps,' a clear tell that he's lying."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: Though you phrase it as Investigation, you focus on his mannerisms. He's a nervous wreck, but you can't tell if it's because he's lying or just terrified of being seen with you."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: You lean forward, your hand resting on the pommel of your sword. 'The truth,' you say in a low voice. 'Now.' Finnick flinches and quickly admits the crypt is actually in the northern hills."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: You try to look menacing, but Finnick is more scared of his employers than he is of you. 'I've told you all I know!' he squeaks, refusing to change his story."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The room is small and dusty. In the center sits a single, large, iron-banded chest. It is clearly very old and appears to be sealed with a heavy, complex lock."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully examine the chest. You notice a series of tiny holes on the front, cleverly hidden in the carvings. It's a poison needle trap, linked to the lock."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: You look the chest over, but the trap mechanism is expertly crafted. You don't see any signs of a trap, and the chest appears to be safe."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You pull out your tools and set to work on the complex lock. After a few tense moments, you hear a satisfying *clunk* as the mechanism unlocks."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: The lock is ancient and rusted. You work on it for a minute, but a tumbler is jammed tight. You can't get it to budge."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: You find a series of large, deep tracks in the mud. They are clearly from a large reptilian creature, and each track has three distinct, sharp-clawed toes."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: Despite your confusion about the number of toes, your expertise is undeniable. You recognize the three-toed print as belonging to a young Wyvern, known to lair in this area."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: Your confusion about the number of toes makes it difficult to recall the creature. The three-toed track is large and reptilian, but you can't place it."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: You scan the skies. You don't see the Wyvern itself, but you do spot a large, dark shape circling high above the canopy about a mile to the north. That must be its territory."
input: [CHECK]: Perception[PASS/FAIL]: Fail,"output: [OUTCOME]: The forest canopy is too thick. You can only see small patches of the sky, and you don't spot any sign of the creature."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: The portcullis on the far side of the arena rises, and a massive, snarling saber-toothed tiger pads into the arena, its long fangs dripping."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: You let out a roar that shakes the very foundations of the arena. The saber-toothed tiger, recognizing a fellow predator, pauses in its advance, momentarily impressed."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your roar is loud, but the saber-toothed tiger is a primeval engine of destruction and is completely unimpressed by your shouting. It charges."
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: Suddenly, the forest erupts with the sound of high-pitched war cries. A dozen goblins, armed with crude spears and shields, emerge from the undergrowth."
input: [CHECK]: Perception[PASS/FAIL]: Pass,output: [OUTCOME]: Your trained eye scans the chaotic goblin ranks. You notice one goblin that is slightly larger and is shouting commands. That is the leader of this pack.
input: [CHECK]: Perception[PASS/FAIL]: Fail,output: [OUTCOME]: The goblins are a disorganized mob. There is no discernible leader among them; they are just a swarm of chaotic violence.
input: [CHECK]: None[PASS/FAIL]: N/A,"output: [OUTCOME]: In the center of the glade is a beautiful, moss-covered statue of a woman with antlers, holding a bow. It's a statue of a forgotten goddess of the hunt."
